BOM ID,Component ID,Quantity per Unit,Unit of Measure
INV-STRC-FG-0001,INV-MODL-SFG-1410,1,PCS
INV-STRC-FG-0001,INV-MODL-SFG-1252,1,PCS
INV-STRC-FG-0001,INV-PLTE-SFG-1129,3,PCS
INV-STRC-FG-0001,INV-RM-RM-0088,3,PCS
INV-STRC-FG-0001,INV-RM-RM-0018,4,PCS
INV-STRC-FG-0002,INV-STRC-SFG-0271,3,PCS
INV-STRC-FG-0002,INV-MODL-SFG-1385,1,PCS
INV-STRC-FG-0002,INV-STRC-SFG-0235,3,PCS
INV-STRC-FG-0002,INV-STRC-SFG-0131,3,PCS
INV-STRC-FG-0002,INV-PLTE-SFG-0860,3,PCS
INV-STRC-FG-0002,INV-RM-RM-0115,4,PCS
INV-STRC-FG-0002,INV-RM-RM-0014,3,PCS
INV-STRC-FG-0002,INV-RM-RM-0032,1,PCS
INV-STRC-FG-0003,INV-STRC-SFG-0219,3,PCS
INV-STRC-FG-0003,INV-PLTE-SFG-0915,2,PCS
INV-STRC-FG-0003,INV-PLTE-SFG-0827,1,PCS
INV-STRC-FG-0003,INV-STRC-SFG-0296,1,PCS
INV-STRC-FG-0003,INV-MODL-SFG-1273,2,PCS
INV-STRC-FG-0003,INV-RM-RM-0070,1,PCS
INV-STRC-FG-0003,INV-RM-RM-0003,4,PCS
INV-STRC-FG-0004,INV-PLTE-SFG-1000,2,PCS
INV-STRC-FG-0004,INV-STRC-SFG-0143,2,PCS
INV-STRC-FG-0004,INV-MODL-SFG-1414,2,PCS
INV-STRC-FG-0004,INV-BEAM-SFG-0710,3,PCS
INV-STRC-FG-0004,INV-MODL-SFG-1292,2,PCS
INV-STRC-FG-0004,INV-RM-RM-0118,1,PCS
INV-STRC-FG-0004,INV-RM-RM-0094,2,PCS
INV-STRC-FG-0004,INV-RM-RM-0055,4,PCS
INV-STRC-FG-0005,INV-STRC-SFG-0175,3,PCS
INV-STRC-FG-0005,INV-PLTE-SFG-0960,3,PCS
INV-STRC-FG-0005,INV-STRC-SFG-0301,4,PCS
INV-STRC-FG-0005,INV-RM-RM-0039,4,PCS
INV-STRC-FG-0005,INV-RM-RM-0054,4,PCS
INV-STRC-FG-0005,INV-RM-RM-0048,1,PCS
INV-STRC-FG-0006,INV-PLTE-SFG-1065,3,PCS
INV-STRC-FG-0006,INV-BEAM-SFG-0813,3,PCS
INV-STRC-FG-0006,INV-MODL-SFG-1360,3,PCS
INV-STRC-FG-0006,INV-PLTE-SFG-0835,4,PCS
INV-STRC-FG-0006,INV-PLTE-SFG-0932,1,PCS
INV-STRC-FG-0006,INV-STRC-SFG-0138,2,PCS
INV-STRC-FG-0006,INV-RM-RM-0051,3,PCS
INV-STRC-FG-0006,INV-RM-RM-0060,3,PCS
INV-STRC-FG-0006,INV-RM-RM-0024,4,PCS
INV-STRC-FG-0006,INV-RM-RM-0095,1,PCS
INV-STRC-FG-0007,INV-STRC-SFG-0167,3,PCS
INV-STRC-FG-0007,INV-MODL-SFG-1404,1,PCS
INV-STRC-FG-0007,INV-MODL-SFG-1326,1,PCS
INV-STRC-FG-0007,INV-PLTE-SFG-1104,2,PCS
INV-STRC-FG-0007,INV-PLTE-SFG-0949,2,PCS
INV-STRC-FG-0007,INV-BEAM-SFG-0769,1,PCS
INV-STRC-FG-0007,INV-RM-RM-0043,3,PCS
INV-STRC-FG-0007,INV-RM-RM-0016,1,PCS
INV-STRC-FG-0007,INV-RM-RM-0078,2,PCS
INV-STRC-FG-0007,INV-RM-RM-0102,3,PCS
INV-STRC-FG-0008,INV-MODL-SFG-1347,3,PCS
INV-STRC-FG-0008,INV-BEAM-SFG-0733,1,PCS
INV-STRC-FG-0008,INV-STRC-SFG-0302,4,PCS
INV-STRC-FG-0008,INV-RM-RM-0096,2,PCS
INV-STRC-FG-0008,INV-RM-RM-0003,1,PCS
INV-STRC-FG-0008,INV-RM-RM-0098,2,PCS
INV-STRC-FG-0008,INV-RM-RM-0125,2,PCS
INV-STRC-FG-0009,INV-MODL-SFG-1377,4,PCS
INV-STRC-FG-0009,INV-MODL-SFG-1474,4,PCS
INV-STRC-FG-0009,INV-BEAM-SFG-0609,3,PCS
INV-STRC-FG-0009,INV-RM-RM-0096,4,PCS
INV-STRC-FG-0009,INV-RM-RM-0053,3,PCS
INV-STRC-FG-0009,INV-RM-RM-0098,3,PCS
INV-STRC-FG-0010,INV-MODL-SFG-1188,1,PCS
INV-STRC-FG-0010,INV-BEAM-SFG-0644,4,PCS
INV-STRC-FG-0010,INV-BEAM-SFG-0575,4,PCS
INV-STRC-FG-0010,INV-PLTE-SFG-1084,1,PCS
INV-STRC-FG-0010,INV-RM-RM-0050,4,PCS
INV-STRC-FG-0010,INV-RM-RM-0070,2,PCS
