Item ID,Item Description,Unit of Measure,Group,Item Type,Model
INV-STRC-FG-0001,Steel Frame 1,PCS,Structures,FG,MDL-STRC-03
INV-STRC-SFG-0001,Intermediate Frame 1,PCS,Structures,SFG,MDL-STRC-03
INV-STRC-SFG-0002,Fabricated Section 2,PCS,Structures,SFG,MDL-STRC-03
INV-STRC-SFG-0003,Partially Welded Plate 3,PCS,Structures,SFG,MDL-STRC-03
INV-STRC-SFG-0004,Intermediate Frame 4,PCS,Structures,SFG,MDL-STRC-03
INV-STRC-SFG-0005,Processed Component 5,PCS,Structures,SFG,MDL-STRC-03
INV-STRC-SFG-0006,Partially Welded Plate 6,PCS,Structures,SFG,MDL-STRC-03
INV-STRC-FG-0002,Metal Beam 2,PCS,Structures,FG,MDL-STRC-05
INV-STRC-SFG-0007,Intermediate Frame 7,PCS,Structures,SFG,MDL-STRC-05
INV-STRC-SFG-0008,Intermediate Frame 8,PCS,Structures,SFG,MDL-STRC-05
INV-STRC-SFG-0009,Partially Welded Plate 9,PCS,Structures,SFG,MDL-STRC-05
INV-STRC-SFG-0010,Partially Welded Plate 10,PCS,Structures,SFG,MDL-STRC-05
INV-STRC-SFG-0011,Partially Welded Plate 11,PCS,Structures,SFG,MDL-STRC-05
INV-STRC-FG-0003,Metal Beam 3,PCS,Structures,FG,MDL-STRC-11
INV-STRC-SFG-0012,Intermediate Frame 12,PCS,Structures,SFG,MDL-STRC-11
INV-STRC-SFG-0013,Processed Component 13,PCS,Structures,SFG,MDL-STRC-11
INV-STRC-SFG-0014,Fabricated Section 14,PCS,Structures,SFG,MDL-STRC-11
INV-STRC-FG-0004,Steel Frame 4,PCS,Structures,FG,MDL-STRC-01
INV-STRC-SFG-0015,Processed Component 15,PCS,Structures,SFG,MDL-STRC-01
INV-STRC-SFG-0016,Processed Component 16,PCS,Structures,SFG,MDL-STRC-01
INV-STRC-SFG-0017,Processed Component 17,PCS,Structures,SFG,MDL-STRC-01
INV-STRC-SFG-0018,Processed Component 18,PCS,Structures,SFG,MDL-STRC-01
INV-STRC-SFG-0019,Partially Welded Plate 19,PCS,Structures,SFG,MDL-STRC-01
INV-STRC-SFG-0020,Partially Welded Plate 20,PCS,Structures,SFG,MDL-STRC-01
INV-STRC-FG-0005,Steel Frame 5,PCS,Structures,FG,MDL-STRC-11
INV-STRC-SFG-0021,Partially Welded Plate 21,PCS,Structures,SFG,MDL-STRC-11
INV-STRC-SFG-0022,Processed Component 22,PCS,Structures,SFG,MDL-STRC-11
INV-STRC-SFG-0023,Fabricated Section 23,PCS,Structures,SFG,MDL-STRC-11
INV-STRC-SFG-0024,Partially Welded Plate 24,PCS,Structures,SFG,MDL-STRC-11
INV-STRC-SFG-0025,Partially Welded Plate 25,PCS,Structures,SFG,MDL-STRC-11
INV-STRC-FG-0006,Construction Module 6,PCS,Structures,FG,MDL-STRC-03
INV-STRC-SFG-0026,Intermediate Frame 26,PCS,Structures,SFG,MDL-STRC-03
INV-STRC-SFG-0027,Intermediate Frame 27,PCS,Structures,SFG,MDL-STRC-03
INV-STRC-SFG-0028,Intermediate Frame 28,PCS,Structures,SFG,MDL-STRC-03
INV-STRC-FG-0007,Steel Plate 7,PCS,Structures,FG,MDL-STRC-12
INV-STRC-SFG-0029,Partially Welded Plate 29,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-SFG-0030,Partially Welded Plate 30,PCS,Structures,SFG,MDL-STRC-12
INV-STRC-SFG-0031,Partially Welded Plate 31,PCS,Structures,SFG,MDL-STRC-12
