Item ID,Operation Number,Operation Name,Workcenter ID,Setup Time (min),Run Time (min),Next Operation,Previous Operation
INV-STRC-FG-0001,1,Assembly 1,WC-014,18,338,2.0,
INV-STRC-FG-0001,2,Welding 1,WC-001,20,180,3.0,1.0
INV-STRC-FG-0001,3,Assembly 2,WC-014,19,123,4.0,2.0
INV-STRC-FG-0001,4,Welding 2,WC-004,19,313,5.0,3.0
INV-STRC-FG-0001,5,Assembly 3,WC-015,23,244,6.0,4.0
INV-STRC-FG-0001,6,Welding 3,WC-002,18,170,7.0,5.0
INV-STRC-FG-0001,7,Assembly 4,WC-015,24,321,8.0,6.0
INV-STRC-FG-0001,8,Welding 4,WC-003,13,223,9.0,7.0
INV-STRC-FG-0001,9,Machining 1,WC-011,49,196,10.0,8.0
INV-STRC-FG-0001,10,Painting 1,WC-019,24,175,11.0,9.0
INV-STRC-FG-0001,11,Packaging 1,WC-028,0,30,,10.0
INV-STRC-SFG-0001,1,Assembly 1,WC-014,11,324,2.0,
INV-STRC-SFG-0001,2,Welding 1,WC-002,17,228,3.0,1.0
INV-STRC-SFG-0001,3,Assembly 2,WC-016,11,342,4.0,2.0
INV-STRC-SFG-0001,4,Welding 2,WC-003,14,269,,3.0
INV-STRC-SFG-0002,1,Assembly 1,WC-013,21,192,2.0,
INV-STRC-SFG-0002,2,Welding 1,WC-001,15,120,3.0,1.0
INV-STRC-SFG-0002,3,Assembly 2,WC-015,25,172,4.0,2.0
INV-STRC-SFG-0002,4,Welding 2,WC-001,20,168,5.0,3.0
INV-STRC-SFG-0002,5,Machining 1,WC-011,24,101,,4.0
INV-STRC-SFG-0003,1,Assembly 1,WC-016,21,147,2.0,
INV-STRC-SFG-0003,2,Welding 1,WC-002,21,132,3.0,1.0
INV-STRC-SFG-0003,3,Machining 1,WC-010,54,62,,2.0
INV-STRC-SFG-0004,1,Assembly 1,WC-015,28,336,2.0,
INV-STRC-SFG-0004,2,Welding 1,WC-004,25,262,,1.0
INV-STRC-SFG-0005,1,Assembly 1,WC-015,21,123,2.0,
INV-STRC-SFG-0005,2,Welding 1,WC-003,20,219,3.0,1.0
INV-STRC-SFG-0005,3,Assembly 2,WC-014,15,296,4.0,2.0
INV-STRC-SFG-0005,4,Welding 2,WC-005,13,169,5.0,3.0
INV-STRC-SFG-0005,5,Machining 1,WC-007,66,74,,4.0
INV-STRC-SFG-0006,1,Assembly 1,WC-015,11,331,2.0,
INV-STRC-SFG-0006,2,Welding 1,WC-005,14,308,3.0,1.0
INV-STRC-SFG-0006,3,Machining 1,WC-007,65,76,,2.0
INV-STRC-FG-0002,1,Assembly 1,WC-015,23,192,2.0,
INV-STRC-FG-0002,2,Welding 1,WC-005,30,213,3.0,1.0
INV-STRC-FG-0002,3,Assembly 2,WC-015,26,217,4.0,2.0
INV-STRC-FG-0002,4,Welding 2,WC-003,22,263,5.0,3.0
INV-STRC-FG-0002,5,Assembly 3,WC-016,28,238,6.0,4.0
INV-STRC-FG-0002,6,Welding 3,WC-006,17,145,7.0,5.0
INV-STRC-FG-0002,7,Machining 1,WC-010,21,230,8.0,6.0
INV-STRC-FG-0002,8,Painting 1,WC-017,22,130,9.0,7.0
INV-STRC-FG-0002,9,Packaging 1,WC-022,0,30,,8.0
INV-STRC-SFG-0007,1,Assembly 1,WC-015,30,350,2.0,
INV-STRC-SFG-0007,2,Welding 1,WC-005,17,267,3.0,1.0
INV-STRC-SFG-0007,3,Assembly 2,WC-013,26,122,4.0,2.0
INV-STRC-SFG-0007,4,Welding 2,WC-002,29,359,,3.0
INV-STRC-SFG-0008,1,Assembly 1,WC-014,22,219,2.0,
INV-STRC-SFG-0008,2,Welding 1,WC-003,23,336,3.0,1.0
INV-STRC-SFG-0008,3,Assembly 2,WC-016,13,200,4.0,2.0
INV-STRC-SFG-0008,4,Welding 2,WC-001,22,322,5.0,3.0
INV-STRC-SFG-0008,5,Machining 1,WC-009,58,118,,4.0
INV-STRC-SFG-0009,1,Assembly 1,WC-016,14,216,2.0,
INV-STRC-SFG-0009,2,Welding 1,WC-003,19,185,3.0,1.0
INV-STRC-SFG-0009,3,Machining 1,WC-008,20,83,,2.0
INV-STRC-SFG-0010,1,Assembly 1,WC-015,12,325,2.0,
INV-STRC-SFG-0010,2,Welding 1,WC-003,24,152,3.0,1.0
INV-STRC-SFG-0010,3,Assembly 2,WC-016,19,358,4.0,2.0
INV-STRC-SFG-0010,4,Welding 2,WC-004,18,326,,3.0
INV-STRC-SFG-0011,1,Assembly 1,WC-014,26,318,2.0,
INV-STRC-SFG-0011,2,Welding 1,WC-004,16,191,3.0,1.0
INV-STRC-SFG-0011,3,Assembly 2,WC-016,12,334,4.0,2.0
INV-STRC-SFG-0011,4,Welding 2,WC-001,21,242,5.0,3.0
INV-STRC-SFG-0011,5,Machining 1,WC-010,41,86,,4.0
INV-STRC-FG-0003,1,Assembly 1,WC-015,12,235,2.0,
INV-STRC-FG-0003,2,Welding 1,WC-003,17,158,3.0,1.0
INV-STRC-FG-0003,3,Assembly 2,WC-014,13,207,4.0,2.0
INV-STRC-FG-0003,4,Welding 2,WC-001,15,355,5.0,3.0
INV-STRC-FG-0003,5,Machining 1,WC-011,65,90,6.0,4.0
INV-STRC-FG-0003,6,Painting 1,WC-018,28,87,7.0,5.0
INV-STRC-FG-0003,7,Packaging 1,WC-030,0,30,,6.0
INV-STRC-SFG-0012,1,Assembly 1,WC-015,10,212,2.0,
INV-STRC-SFG-0012,2,Welding 1,WC-003,30,140,3.0,1.0
