FG Item ID,Parent ID,Component ID,Level,Quantity
INV-STRC-FG-0001,INV-STRC-FG-0001,INV-MODL-SFG-1410,1,1
INV-STRC-FG-0001,INV-MODL-SFG-1410,INV-RM-RM-0017,2,2
INV-STRC-FG-0001,INV-MODL-SFG-1410,INV-RM-RM-0063,2,1
INV-STRC-FG-0001,INV-MODL-SFG-1410,INV-RM-RM-0091,2,2
INV-STRC-FG-0001,INV-MODL-SFG-1410,INV-RM-RM-0094,2,3
INV-STRC-FG-0001,INV-MODL-SFG-1410,INV-RM-RM-0067,2,3
INV-STRC-FG-0001,INV-STRC-FG-0001,INV-MODL-SFG-1252,1,1
INV-STRC-FG-0001,INV-MODL-SFG-1252,INV-RM-RM-0103,2,3
INV-STRC-FG-0001,INV-MODL-SFG-1252,INV-RM-RM-0057,2,3
INV-STRC-FG-0001,INV-MODL-SFG-1252,INV-RM-RM-0023,2,3
INV-STRC-FG-0001,INV-MODL-SFG-1252,INV-RM-RM-0045,2,3
INV-STRC-FG-0001,INV-MODL-SFG-1252,INV-RM-RM-0117,2,3
INV-STRC-FG-0001,INV-STRC-FG-0001,INV-PLTE-SFG-1129,1,3
INV-STRC-FG-0001,INV-PLTE-SFG-1129,INV-RM-RM-0057,2,2
INV-STRC-FG-0001,INV-PLTE-SFG-1129,INV-RM-RM-0071,2,4
INV-STRC-FG-0001,INV-PLTE-SFG-1129,INV-RM-RM-0118,2,3
INV-STRC-FG-0001,INV-PLTE-SFG-1129,INV-RM-RM-0063,2,2
INV-STRC-FG-0001,INV-STRC-FG-0001,INV-RM-RM-0088,1,3
INV-STRC-FG-0001,INV-STRC-FG-0001,INV-RM-RM-0018,1,4
INV-STRC-FG-0002,INV-STRC-FG-0002,INV-STRC-SFG-0271,1,3
INV-STRC-FG-0002,INV-STRC-SFG-0271,INV-RM-RM-0113,2,4
INV-STRC-FG-0002,INV-STRC-SFG-0271,INV-RM-RM-0121,2,1
INV-STRC-FG-0002,INV-STRC-SFG-0271,INV-RM-RM-0126,2,2
INV-STRC-FG-0002,INV-STRC-SFG-0271,INV-RM-RM-0019,2,2
