Main_Parent_ID,Level,Type,ItemID,Direct_Parent_ID,Quantity
INV-STRC-FG-0001,0,FG,INV-STRC-FG-0001,,1
INV-STRC-FG-0001,1,SFG,INV-MODL-SFG-1410,INV-STRC-FG-0001,1
INV-STRC-FG-0001,2,RM,INV-RM-RM-0017,INV-MODL-SFG-1410,2
INV-STRC-FG-0001,2,RM,INV-RM-RM-0063,INV-MODL-SFG-1410,1
INV-STRC-FG-0001,2,RM,INV-RM-RM-0091,INV-MODL-SFG-1410,2
INV-STRC-FG-0001,2,RM,INV-RM-RM-0094,INV-MODL-SFG-1410,3
INV-STRC-FG-0001,2,RM,INV-RM-RM-0067,INV-MODL-SFG-1410,3
INV-STRC-FG-0001,1,SFG,INV-MODL-SFG-1252,INV-STRC-FG-0001,1
INV-STRC-FG-0001,2,RM,INV-RM-RM-0103,INV-MODL-SFG-1252,3
INV-STRC-FG-0001,2,RM,INV-RM-RM-0057,INV-MODL-SFG-1252,3
INV-STRC-FG-0001,2,RM,INV-RM-RM-0023,INV-MODL-SFG-1252,3
INV-STRC-FG-0001,2,RM,INV-RM-RM-0045,INV-MODL-SFG-1252,3
INV-STRC-FG-0001,2,RM,INV-RM-RM-0117,INV-MODL-SFG-1252,3
INV-STRC-FG-0001,1,SFG,INV-PLTE-SFG-1129,INV-STRC-FG-0001,3
INV-STRC-FG-0001,2,RM,INV-RM-RM-0057,INV-PLTE-SFG-1129,2
INV-STRC-FG-0001,2,RM,INV-RM-RM-0071,INV-PLTE-SFG-1129,4
INV-STRC-FG-0001,2,RM,INV-RM-RM-0118,INV-PLTE-SFG-1129,3
INV-STRC-FG-0001,2,RM,INV-RM-RM-0063,INV-PLTE-SFG-1129,2
INV-STRC-FG-0001,1,RM,INV-RM-RM-0088,INV-STRC-FG-0001,3
INV-STRC-FG-0001,1,RM,INV-RM-RM-0018,INV-STRC-FG-0001,4
INV-STRC-FG-0002,0,FG,INV-STRC-FG-0002,,1
INV-STRC-FG-0002,1,SFG,INV-STRC-SFG-0271,INV-STRC-FG-0002,3
INV-STRC-FG-0002,2,RM,INV-RM-RM-0113,INV-STRC-SFG-0271,4
INV-STRC-FG-0002,2,RM,INV-RM-RM-0121,INV-STRC-SFG-0271,1
INV-STRC-FG-0002,2,RM,INV-RM-RM-0126,INV-STRC-SFG-0271,2
INV-STRC-FG-0002,2,RM,INV-RM-RM-0019,INV-STRC-SFG-0271,2
INV-STRC-FG-0002,1,SFG,INV-MODL-SFG-1385,INV-STRC-FG-0002,1
INV-STRC-FG-0002,2,RM,INV-RM-RM-0007,INV-MODL-SFG-1385,1
INV-STRC-FG-0002,2,RM,INV-RM-RM-0035,INV-MODL-SFG-1385,4
INV-STRC-FG-0002,2,RM,INV-RM-RM-0057,INV-MODL-SFG-1385,3
INV-STRC-FG-0002,1,SFG,INV-STRC-SFG-0235,INV-STRC-FG-0002,3
INV-STRC-FG-0002,2,RM,INV-RM-RM-0043,INV-STRC-SFG-0235,1
INV-STRC-FG-0002,2,RM,INV-RM-RM-0008,INV-STRC-SFG-0235,4
INV-STRC-FG-0002,2,RM,INV-RM-RM-0066,INV-STRC-SFG-0235,3
INV-STRC-FG-0002,2,RM,INV-RM-RM-0026,INV-STRC-SFG-0235,2
INV-STRC-FG-0002,2,RM,INV-RM-RM-0089,INV-STRC-SFG-0235,3
INV-STRC-FG-0002,1,SFG,INV-STRC-SFG-0131,INV-STRC-FG-0002,3
INV-STRC-FG-0002,2,RM,INV-RM-RM-0106,INV-STRC-SFG-0131,3
INV-STRC-FG-0002,2,RM,INV-RM-RM-0092,INV-STRC-SFG-0131,3
INV-STRC-FG-0002,2,RM,INV-RM-RM-0076,INV-STRC-SFG-0131,2
INV-STRC-FG-0002,2,RM,INV-RM-RM-0003,INV-STRC-SFG-0131,2
INV-STRC-FG-0002,1,SFG,INV-PLTE-SFG-0860,INV-STRC-FG-0002,3
