Main_Parent_ID,Level,Type,ItemID,Direct_Parent_ID,Quantity,Item ID,Operation Number,Operation Name,Workcenter ID,Setup Time (min),Run Time (min),Next Operation,Previous Operation
INV-STRC-FG-0001,0,FG,INV-STRC-FG-0001,,1,INV-STRC-FG-0001,1.0,Assembly 1,WC-014,18.0,338.0,2.0,
INV-STRC-FG-0001,0,FG,INV-STRC-FG-0001,,1,INV-STRC-FG-0001,2.0,Welding 1,WC-001,20.0,180.0,3.0,1.0
INV-STRC-FG-0001,0,FG,INV-STRC-FG-0001,,1,INV-STRC-FG-0001,3.0,Assembly 2,WC-014,19.0,123.0,4.0,2.0
INV-STRC-FG-0001,0,FG,INV-STRC-FG-0001,,1,INV-STRC-FG-0001,4.0,Welding 2,WC-004,19.0,313.0,5.0,3.0
INV-STRC-FG-0001,0,FG,INV-STRC-FG-0001,,1,INV-STRC-FG-0001,5.0,Assembly 3,WC-015,23.0,244.0,6.0,4.0
INV-STRC-FG-0001,0,FG,INV-STRC-FG-0001,,1,INV-STRC-FG-0001,6.0,Welding 3,WC-002,18.0,170.0,7.0,5.0
INV-STRC-FG-0001,0,FG,INV-STRC-FG-0001,,1,INV-STRC-FG-0001,7.0,Assembly 4,WC-015,24.0,321.0,8.0,6.0
INV-STRC-FG-0001,0,FG,INV-STRC-FG-0001,,1,INV-STRC-FG-0001,8.0,Welding 4,WC-003,13.0,223.0,9.0,7.0
INV-STRC-FG-0001,0,FG,INV-STRC-FG-0001,,1,INV-STRC-FG-0001,9.0,Machining 1,WC-011,49.0,196.0,10.0,8.0
INV-STRC-FG-0001,0,FG,INV-STRC-FG-0001,,1,INV-STRC-FG-0001,10.0,Painting 1,WC-019,24.0,175.0,11.0,9.0
INV-STRC-FG-0001,0,FG,INV-STRC-FG-0001,,1,INV-STRC-FG-0001,11.0,Packaging 1,WC-028,0.0,30.0,,10.0
INV-STRC-FG-0001,1,SFG,INV-MODL-SFG-1410,INV-STRC-FG-0001,1,INV-MODL-SFG-1410,1.0,Assembly 1,WC-014,21.0,252.0,2.0,
INV-STRC-FG-0001,1,SFG,INV-MODL-SFG-1410,INV-STRC-FG-0001,1,INV-MODL-SFG-1410,2.0,Welding 1,WC-003,24.0,123.0,3.0,1.0
INV-STRC-FG-0001,1,SFG,INV-MODL-SFG-1410,INV-STRC-FG-0001,1,INV-MODL-SFG-1410,3.0,Assembly 2,WC-016,12.0,250.0,4.0,2.0
INV-STRC-FG-0001,1,SFG,INV-MODL-SFG-1410,INV-STRC-FG-0001,1,INV-MODL-SFG-1410,4.0,Welding 2,WC-004,11.0,231.0,5.0,3.0
INV-STRC-FG-0001,1,SFG,INV-MODL-SFG-1410,INV-STRC-FG-0001,1,INV-MODL-SFG-1410,5.0,Machining 1,WC-007,24.0,106.0,,4.0
INV-STRC-FG-0001,2,RM,INV-RM-RM-0017,INV-MODL-SFG-1410,2,,,,,,,,
INV-STRC-FG-0001,2,RM,INV-RM-RM-0063,INV-MODL-SFG-1410,1,,,,,,,,
INV-STRC-FG-0001,2,RM,INV-RM-RM-0091,INV-MODL-SFG-1410,2,,,,,,,,
INV-STRC-FG-0001,2,RM,INV-RM-RM-0094,INV-MODL-SFG-1410,3,,,,,,,,
INV-STRC-FG-0001,2,RM,INV-RM-RM-0067,INV-MODL-SFG-1410,3,,,,,,,,
INV-STRC-FG-0001,1,SFG,INV-MODL-SFG-1252,INV-STRC-FG-0001,1,INV-MODL-SFG-1252,1.0,Assembly 1,WC-014,17.0,210.0,2.0,
INV-STRC-FG-0001,1,SFG,INV-MODL-SFG-1252,INV-STRC-FG-0001,1,INV-MODL-SFG-1252,2.0,Welding 1,WC-002,22.0,223.0,3.0,1.0
INV-STRC-FG-0001,1,SFG,INV-MODL-SFG-1252,INV-STRC-FG-0001,1,INV-MODL-SFG-1252,3.0,Assembly 2,WC-015,22.0,355.0,4.0,2.0
INV-STRC-FG-0001,1,SFG,INV-MODL-SFG-1252,INV-STRC-FG-0001,1,INV-MODL-SFG-1252,4.0,Welding 2,WC-001,19.0,326.0,,3.0
INV-STRC-FG-0001,2,RM,INV-RM-RM-0103,INV-MODL-SFG-1252,3,,,,,,,,
INV-STRC-FG-0001,2,RM,INV-RM-RM-0057,INV-MODL-SFG-1252,3,,,,,,,,
INV-STRC-FG-0001,2,RM,INV-RM-RM-0023,INV-MODL-SFG-1252,3,,,,,,,,
INV-STRC-FG-0001,2,RM,INV-RM-RM-0045,INV-MODL-SFG-1252,3,,,,,,,,
INV-STRC-FG-0001,2,RM,INV-RM-RM-0117,INV-MODL-SFG-1252,3,,,,,,,,
INV-STRC-FG-0001,1,SFG,INV-PLTE-SFG-1129,INV-STRC-FG-0001,3,INV-PLTE-SFG-1129,1.0,Assembly 1,WC-013,26.0,130.0,2.0,
INV-STRC-FG-0001,1,SFG,INV-PLTE-SFG-1129,INV-STRC-FG-0001,3,INV-PLTE-SFG-1129,2.0,Welding 1,WC-001,18.0,237.0,,1.0
INV-STRC-FG-0001,2,RM,INV-RM-RM-0057,INV-PLTE-SFG-1129,2,,,,,,,,
INV-STRC-FG-0001,2,RM,INV-RM-RM-0071,INV-PLTE-SFG-1129,4,,,,,,,,
INV-STRC-FG-0001,2,RM,INV-RM-RM-0118,INV-PLTE-SFG-1129,3,,,,,,,,
