Order ID,Item ID,Quantity,Workcenter ID,Setup Time (min),Run Time (min),Total Time (min),Delivery Date
SO-0001,INV-STRC-FG-0058,2,WC-015,10.0,432.0,442.0,2025-01-28
SO-0001,INV-STRC-FG-0058,2,WC-004,11.0,376.0,387.0,2025-01-28
SO-0001,INV-STRC-FG-0058,2,WC-013,19.0,468.0,487.0,2025-01-28
SO-0001,INV-STRC-FG-0058,2,WC-005,15.0,614.0,629.0,2025-01-28
SO-0001,INV-STRC-FG-0058,2,WC-015,26.0,632.0,658.0,2025-01-28
SO-0001,INV-STRC-FG-0058,2,WC-006,27.0,444.0,471.0,2025-01-28
SO-0001,INV-STRC-FG-0058,2,WC-019,23.0,324.0,347.0,2025-01-28
SO-0001,INV-STRC-FG-0058,2,WC-029,0.0,60.0,60.0,2025-01-28
SO-0002,INV-PLTE-FG-0260,1,WC-014,14.0,337.0,351.0,2025-10-21
SO-0002,INV-PLTE-FG-0260,1,WC-001,22.0,123.0,145.0,2025-10-21
SO-0002,INV-PLTE-FG-0260,1,WC-015,20.0,200.0,220.0,2025-10-21
SO-0002,INV-PLTE-FG-0260,1,WC-004,12.0,278.0,290.0,2025-10-21
SO-0002,INV-PLTE-FG-0260,1,WC-016,16.0,238.0,254.0,2025-10-21
SO-0002,INV-PLTE-FG-0260,1,WC-004,12.0,317.0,329.0,2025-10-21
SO-0002,INV-PLTE-FG-0260,1,WC-014,23.0,305.0,328.0,2025-10-21
SO-0002,INV-PLTE-FG-0260,1,WC-002,23.0,307.0,330.0,2025-10-21
SO-0002,INV-PLTE-FG-0260,1,WC-017,22.0,198.0,220.0,2025-10-21
SO-0002,INV-PLTE-FG-0260,1,WC-030,0.0,25.0,25.0,2025-10-21
SO-0003,INV-PLTE-FG-0258,4,WC-014,16.0,596.0,612.0,2025-12-19
SO-0003,INV-PLTE-FG-0258,4,WC-006,19.0,732.0,751.0,2025-12-19
SO-0003,INV-PLTE-FG-0258,4,WC-015,12.0,1324.0,1336.0,2025-12-19
SO-0003,INV-PLTE-FG-0258,4,WC-002,22.0,588.0,610.0,2025-12-19
